term_a,term_b,co_doc_count,pmi,tscore,score
不去,撒旦,3,3.5096780246562553,1.6802511572490604,0.7535174376700405
孩子,生命,3,3.5096780246562553,1.6802511572490604,0.7535174376700405
反,教廷,3,3.4789063659895025,1.6786324181765662,0.751171054270563
吃,禁果,4,3.4789063659895025,1.9383177570093457,0.7628499295594416
佛祖,逻辑,3,3.4688560301360014,1.678092838485735,0.7504042122045473
宗教信仰,社会,3,3.3918949889998755,1.6737762009590835,0.744523763855649
真的,逼,3,3.3918949889998755,1.6737762009590835,0.744523763855649
一点,机会,3,3.3735458503316798,1.6726970415774205,0.7431194928553484
加尔文,念,3,3.3735458503316798,1.6726970415774205,0.7431194928553484
佛教,相,5,3.3591051661768856,2.1583280440764323,0.7638929038480757
乃是,爱,3,3.3378277677296015,1.6705387228140949,0.7403833731656395
乃是,异端,3,3.3378277677296015,1.6705387228140949,0.7403833731656395
我来,爱,3,3.3378277677296015,1.6705387228140949,0.7403833731656395
爱,观点,3,3.3378277677296015,1.6705387228140949,0.7403833731656395
世上,爱,3,3.3378277677296015,1.6705387228140949,0.7403833731656395
圣灵,异端,4,3.3378277677296015,1.9289719626168225,0.7520059375804155
历史,虚构,3,3.3290940877608475,1.6699991431232633,0.7397138130564478
伊斯兰教,犹太教,4,3.3247556861622494,1.9280373831775701,0.7509980675174246
民族,西方,3,3.2949027230125694,1.6678408243599379,0.7370904958856481
听,梵蒂冈,3,3.2865344733420527,1.6673012446691062,0.7364479358262852
人性,地狱,3,3.2865344733420527,1.6673012446691062,0.7364479358262852
一点,记得,3,3.278235670527358,1.666761664978275,0.7358105068920004
死,犹大,3,3.2457124788217993,1.6646033462149492,0.7333104437466429
东方,邪教,3,3.237744309172623,1.6640637665241176,0.7326974438539211
异端,红领巾,4,3.2200447320732226,1.9200934579439253,0.7429041685537909
回复,攻击,3,3.2064917656685195,1.661905447760792,0.7302912633584682
不吃,吃,3,3.1912242935377315,1.6608262883791292,0.7291146832487881
见,记得,3,3.1912242935377315,1.6608262883791292,0.7291146832487881
一点,见,3,3.1912242935377315,1.6608262883791292,0.7291146832487881
点,笑话,3,3.1836770879023493,1.6602867086882978,0.7285327865497626
信徒,脑残,4,3.1577016014990895,1.9149532710280375,0.7380667361826516
历史,第一次,3,3.1467725309668997,1.6575888102341405,0.7256847368357384
历史,真实,3,3.1467725309668997,1.6575888102341405,0.7256847368357384
